FCD-tree_records-tree_time,FCD-tree_records-species,FCD-tree_records-tree_photo,FCD-tree_records-dbh,FCD-tree_records-height,FCD-tree_records-notes,FCD-tree_records-bark_photo,FCD-tree_records-leaves_photo,FCD-tree_records-fruit_flower_seed_photo,FCD-tree_records-root_photo,FCD-tree_records-gps_photo,FCD-tree_records-tree_coords,FCD-tree_records-tree_coords-altitude,FCD-tree_records-tree_coords-accuracy,PARENT_KEY,KEY
11/10/22 13:45,Avicennia marina,https://drive.google.com/open?id=1cu7HunagDP8yIhfykNh5iaYQ6d3zrNEW,31.9,10, ,https://drive.google.com/open?id=1B0fTPO8O46qcqc1Woni9GiTKYjDaYk20,https://drive.google.com/open?id=1hpyXKMgIT2JcWhhIic3RHZrHfnFSGx5x, , ,https://drive.google.com/open?id=1nu7_Yd7Ov77QfqnWinDb96-zBgJztkrI,"13.6286196,121.2077174",53.483,1.684,uuid:05ae2790-0c26-4f43-a6ba-d0a090f35f2c,uuid:05ae2790-0c26-4f43-a6ba-d0a090f35f2c/tree_records[1]
11/10/22 13:46,Avicennia marina,https://drive.google.com/open?id=1EkBUGVdjwlzVXFomqO7pt-PM9fjR9yIY,81,9.5, ,https://drive.google.com/open?id=1Y15ILJwBWTj_tQW7n-C-muoOiori7ZMf,https://drive.google.com/open?id=1abhNbbkj0xX2PAGMAyqIKuR-X-2Cyf-v, , ,https://drive.google.com/open?id=14RT4442HFBzTdKfQpt8N8PIG0equnxzR,"13.6287202,121.2076965",100.707,0.912,uuid:05ae2790-0c26-4f43-a6ba-d0a090f35f2c,uuid:05ae2790-0c26-4f43-a6ba-d0a090f35f2c/tree_records[2]
11/10/22 13:47,Avicennia marina,https://drive.google.com/open?id=1gUQ-veV459tlDgAEdFFEx3ymUalJtLAK,35.4,10.4, ,https://drive.google.com/open?id=1KsN-B43wtqzmk34VWtjcNHEMJHzIUDAm,https://drive.google.com/open?id=1Jp9thLJhpsdjpqJiTiwlMxUFsFVHSXIh, ,https://drive.google.com/open?id=1Qn1yPNJeVzhP6LD2IDeOhuouh3ooVdym,https://drive.google.com/open?id=1qIkfzRDYgAq7TMY5oiHeFgOh-nh7G3lf,"13.6287796,121.2076871",77.087,0.875,uuid:05ae2790-0c26-4f43-a6ba-d0a090f35f2c,uuid:05ae2790-0c26-4f43-a6ba-d0a090f35f2c/tree_records[3]
11/10/22 13:48,Avicennia marina,https://drive.google.com/open?id=1ef_MsscAPlGhxwPNflmbE5DlitzQbONd,17.9,7.4, ,https://drive.google.com/open?id=1LXxXNqOzXJSR8_SeA_CVqlfj3MPOLjM0,https://drive.google.com/open?id=1PcEI9kvpiad3EhAWjlBqJJJ5upLsUv3b, , ,https://drive.google.com/open?id=1sKPjEUJhE5sz094Ae0T_ADef7nf8A16w,"13.6288562,121.2076189",52.201,1.227,uuid:05ae2790-0c26-4f43-a6ba-d0a090f35f2c,uuid:05ae2790-0c26-4f43-a6ba-d0a090f35f2c/tree_records[4]
11/10/22 13:50,Avicennia marina,https://drive.google.com/open?id=1IgXrvEI_7LyiuW5Eklt9IavS5MuKgm3W,49.9,9.3, ,https://drive.google.com/open?id=14MP6HG4vUPE5rUlSzcfl7b8j21RMKu0m,https://drive.google.com/open?id=1z4_zD40ERikENWlPkZHF9yqd4rOKiKwA, , ,https://drive.google.com/open?id=1-2JEtiRitY_SMQJ44gzvLhh2ELygqCsy,"13.6287103,121.2076943",9.034,1.046,uuid:05ae2790-0c26-4f43-a6ba-d0a090f35f2c,uuid:05ae2790-0c26-4f43-a6ba-d0a090f35f2c/tree_records[5]
11/10/22 13:51,Avicennia marina,https://drive.google.com/open?id=1rZ9xpckgefjHk-4tS51pBv6M6aozF79C,87.3,10.4, ,https://drive.google.com/open?id=1wtFpngdGmyuf0dmKtHmIeCZ7erwzLb1l,https://drive.google.com/open?id=1NngjAYHAJ-ICICt5kr3d6GAcOdAy0GQb, , ,https://drive.google.com/open?id=1LIqxk-VMzDtQakosjGUtI5vnrJ6oHEH8,"13.6286095,121.2076273",104.675,1.773,uuid:05ae2790-0c26-4f43-a6ba-d0a090f35f2c,uuid:05ae2790-0c26-4f43-a6ba-d0a090f35f2c/tree_records[6]
11/10/22 13:53,Avicennia marina,https://drive.google.com/open?id=1msv1fN2sf9NuBzHj9FK2_dQRCPyNMwqO,27.9,9.3, ,https://drive.google.com/open?id=18_0F6vhI3ND2Tdpgd471dqkOQnBGFIMM,https://drive.google.com/open?id=1o802KhAZXf0lZedPcuj_FMy5Mmtq7nfb, ,https://drive.google.com/open?id=1OECm0EMpk-w4q9rgUwQEQ321mgn1I3m-,https://drive.google.com/open?id=1wsymBBjqQ5-kJ6O8NajEX3o0V_XnOASK,"13.6286874,121.2075752",66.081,1.886,uuid:05ae2790-0c26-4f43-a6ba-d0a090f35f2c,uuid:05ae2790-0c26-4f43-a6ba-d0a090f35f2c/tree_records[7]
11/10/22 13:55,Avicennia marina,https://drive.google.com/open?id=19RDY0r7A0xNUURHT_deXMBmnc_WpgF9r,28,7.7, ,https://drive.google.com/open?id=10X92lcRs0WU40bzLux50ZBu-i-97hv_0,https://drive.google.com/open?id=1Th_0DJIlL3MV_tQxuU0abIf0LnKPgzTB, , ,https://drive.google.com/open?id=1vw4GDBfNZG20jFxKHeP2pc_zqi48chDU,"13.6287263,121.2076255",64.68,1.516,uuid:05ae2790-0c26-4f43-a6ba-d0a090f35f2c,uuid:05ae2790-0c26-4f43-a6ba-d0a090f35f2c/tree_records[8]
11/10/22 13:57,Avicennia marina,https://drive.google.com/open?id=1_9OnI773Z5KNZxaP8C6LuWkTWR7h0RPt,16.4,6.3, ,https://drive.google.com/open?id=1eI7AfUvFfYjrAzcJTionaJb8AVSq1q1U,https://drive.google.com/open?id=1IGfK7TH_zDveTM2yGPNzWO7kwwITvSLp, , ,https://drive.google.com/open?id=1R2ga29amFuDxh19akORuih3hyZ00ArjK,"13.628637,121.207682",106.115,1.187,uuid:05ae2790-0c26-4f43-a6ba-d0a090f35f2c,uuid:05ae2790-0c26-4f43-a6ba-d0a090f35f2c/tree_records[9]
11/10/22 13:58,Avicennia marina,https://drive.google.com/open?id=1CfhISsdZvPVhQmvMVTcUWkCNWp-kq9br,67.8,10.8, ,https://drive.google.com/open?id=1Tmo_uzHPU0oemA-YQYz74Q76a7BboIww,https://drive.google.com/open?id=1Zgkcd94cykQK1BLqK1ioFZvBnucyFg9R, , ,https://drive.google.com/open?id=1cUjEsNNltURD4ROcEWJUOWeYVCClBc2v,"13.6287205,121.2077902",92.393,0.843,uuid:05ae2790-0c26-4f43-a6ba-d0a090f35f2c,uuid:05ae2790-0c26-4f43-a6ba-d0a090f35f2c/tree_records[10]
