FCD-tree_records-tree_time,FCD-tree_records-species,FCD-tree_records-tree_photo,FCD-tree_records-dbh,FCD-tree_records-height,FCD-tree_records-notes,FCD-tree_records-bark_photo,FCD-tree_records-leaves_photo,FCD-tree_records-fruit_flower_seed_photo,FCD-tree_records-root_photo,FCD-tree_records-gps_photo,FCD-tree_records-tree_coords,FCD-tree_records-tree_coords-altitude,FCD-tree_records-tree_coords-accuracy,PARENT_KEY,KEY
06/10/22 07:41,Avicennia marina,https://drive.google.com/open?id=1d5-szO7k15nDzuE-1cR0A1Q6lcQdXU0A,29.2,8.5,,https://drive.google.com/open?id=18IeOlqaxvm3ZNL70Xnq3taew3vfe9kYD,https://drive.google.com/open?id=1XWnS7uVE4Gz-hCI9tI2HmPn0D6cOJlJT, ,https://drive.google.com/open?id=19tvtiwiMy1zuKvTUle2REH5culR--pDV,,"13.629125, 121.2098143",-47.09,1.587,uuid:8fce2fc2-1c67-4f86-aea6-ca85a1a82abf,uuid:8fce2fc2-1c67-4f86-aea6-ca85a1a82abf/tree_records[1]
06/10/22 07:45,Ceriops tagal,https://drive.google.com/open?id=1DANhllUqqrHmiqK7X3y9bW54fcShF3Ql,21,2.3,,https://drive.google.com/open?id=1RQCk2lQo7Pk3a8u8HqXZI8FeIbb66X5o,https://drive.google.com/open?id=1q4MHDHb6ZravFuzgxFhy1YWXloDc2tLE,https://drive.google.com/open?id=18N6F-WzTKM8Q-_g284n-iXoyySQSubQE, ,,"13.6290587, 121.2098871",36,4.976,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23/tree_records[1]
06/10/22 07:50,Avicennia marina,https://drive.google.com/open?id=1Xnui0euEBLAS0z98FBdHNn0s-Ozm0GQc,67,11.8,,https://drive.google.com/open?id=1mHruPNedoXox4I47um-KxyIcvVMdn306,https://drive.google.com/open?id=1AqLzxFJoIt43YwwIFwAcIkL2rdQVCdgN, ,https://drive.google.com/open?id=1JopJQpndYD-9joExztCyGYn6Yxh3ybs1,,"13.629099, 121.2100269",94.008,1.203,uuid:8fce2fc2-1c67-4f86-aea6-ca85a1a82abf,uuid:8fce2fc2-1c67-4f86-aea6-ca85a1a82abf/tree_records[2]
06/10/22 08:00,Avicennia marina,https://drive.google.com/open?id=1PyjPss2SXUm0E-E4axBABtOAjksqyJcR,44.5,11.4,,https://drive.google.com/open?id=1UgtKekF9H5a5iG4BAKsyB-kcxGtZQ9bL,https://drive.google.com/open?id=1TGuKMMgnEj12UyeqVQdnM5hBAkHsh5EA, ,https://drive.google.com/open?id=1fE-BV_Ye7lEpTYXaFdRA7Y_-GbR7wbCT,,"13.629198, 121.2100111",94.598,1.545,uuid:8fce2fc2-1c67-4f86-aea6-ca85a1a82abf,uuid:8fce2fc2-1c67-4f86-aea6-ca85a1a82abf/tree_records[3]
06/10/22 08:05,Avicennia marina,https://drive.google.com/open?id=1GErS_jOr2PzWhvx9VFmYjh2qmLDhlGRi,137.7,8.195,,https://drive.google.com/open?id=1Ai_fOS7ozKS9qblGS4JDrFBqom5vhIEU,https://drive.google.com/open?id=1LBfTaZY3CqRunZ62PxGoXPxo_VZH1-RB, , ,,"13.6291385, 121.209845",29,7.894,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23/tree_records[2]
06/10/22 08:12,Avicennia marina,https://drive.google.com/open?id=1QCHt87Np9RwEqGA2cpZP0qOImqwYrtHn,57.2,8,,https://drive.google.com/open?id=1qgftUKf5UqD2bLu8jc9rKWyoYy7CwPFF,https://drive.google.com/open?id=1NUhRtJB3FZrieCkxrkeCMimvzNBuQaoH, , ,,"13.6291066, 121.2097668",52,4.928,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23/tree_records[3]
06/10/22 08:14,Avicennia officinalis,https://drive.google.com/open?id=1zhVxSTeYMhKx9LIQIFNREFDu9Wd3zRaa,88,11.69,,https://drive.google.com/open?id=1YkndBhWXXWIs75SejOxwBb5pEG-HEnyP,https://drive.google.com/open?id=18dBuX-mSR9r4ngHwhor7u59Xvpjw8RRe, ,https://drive.google.com/open?id=1VPdYiy17dG5WGflMVEbiNvQl8EgqREO1,,"13.6291986, 121.2099142",74.637,1.608,uuid:8fce2fc2-1c67-4f86-aea6-ca85a1a82abf,uuid:8fce2fc2-1c67-4f86-aea6-ca85a1a82abf/tree_records[4]
06/10/22 08:15,Avicennia rumphiana,https://drive.google.com/open?id=1sbRqTncDhIctr61OXrf8qVrmjrlabT5u,25,4.5,,https://drive.google.com/open?id=1MSMrfF7FHMwVZcNnJepUMz_97fYXuClY,https://drive.google.com/open?id=1Yf53U507QWZpdE8SxKS16-yFY4er33s2, , ,,"13.6291416, 121.2098036",50,5,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23/tree_records[4]
06/10/22 08:19,Avicennia rumphiana,https://drive.google.com/open?id=1c1nCtiGS2Gkmc7f8x15bRG6qprzGGMjM,25.9,6,,https://drive.google.com/open?id=1OoRkPRzpvcbiQTmSsYxxKO1y763b-DEk,https://drive.google.com/open?id=1eQwrBBUP6cmU_-qwKp1qzK5H6ThC0pUj, , ,,"13.6291761, 121.2098909",40,4.928,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23/tree_records[5]
06/10/22 08:22,Avicennia marina,https://drive.google.com/open?id=1sfl6haMJABWtk-EezIOlX6B_XGn0zRfs,45,9.6,,https://drive.google.com/open?id=1SUC5sVY4pJxLJ5woD3dg2D0kiI79Bt5q,https://drive.google.com/open?id=1VDbVSpcwDFRq98JIbrdDQnIxBgUBhWAJ, ,https://drive.google.com/open?id=1_F-MVjmadE8PI_sMNESXWyUNdTb2aLo2,,"13.6292374, 121.2099077",97.195,1.428,uuid:8fce2fc2-1c67-4f86-aea6-ca85a1a82abf,uuid:8fce2fc2-1c67-4f86-aea6-ca85a1a82abf/tree_records[5]
06/10/22 08:23,Avicennia marina,https://drive.google.com/open?id=18XCOQlQEtEs8Ka58X4ctZDwHpJlyrnml,75.5,8,,https://drive.google.com/open?id=1uTo6djQ_kYOBA-naqqgJtztdFeBgdj_b,https://drive.google.com/open?id=1PGKvkrLQbPIaRA5xhK9fjJDQOVl_Duc4, ,https://drive.google.com/open?id=1fjA4fWH5QwWlwBsstBw-R7k8N1TY06q7,,"13.6291366, 121.2098425",39,4.9,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23/tree_records[6]
06/10/22 08:28,Avicennia officinalis,https://drive.google.com/open?id=1IDTucZ7vgRkszvPb0gSMGP9Bc5owWnI6,28.2,10.6,,https://drive.google.com/open?id=1FEibjBW8vrLyUhtWk4pe6ad23W7zX6KS,https://drive.google.com/open?id=1U5exLznI0ZcBu81wZXmI9vmJovWFfG8r, , ,,"13.6288049, 121.2097075",213.036,4.981,uuid:8fce2fc2-1c67-4f86-aea6-ca85a1a82abf,uuid:8fce2fc2-1c67-4f86-aea6-ca85a1a82abf/tree_records[6]
06/10/22 08:29,Avicennia marina,https://drive.google.com/open?id=19GG-EM5v4dfGr2nnWOSGO3LYW-v4Of9d,48.3,8,,https://drive.google.com/open?id=1ZoIG1u-UNsDBv7SJMaDdJ2Ap_S-a6K9x,https://drive.google.com/open?id=1NUx2UYezdWe25NRub7DyfmY9MyfVZtzA, ,https://drive.google.com/open?id=1Z8DMefW1LWQ_4FwXgGbKyOhZkjVQYcHp,,"13.6291834, 121.2097459",45,4.9,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23/tree_records[7]
06/10/22 08:34,Avicennia officinalis,https://drive.google.com/open?id=1Rrh_DrJ_N6ChlQQzGTM7mBcRfaHg3sNn,229.5,11.7,,https://drive.google.com/open?id=1N8WhUVFd3O5ndi9p9Bj4EJD79WaPIKLs,https://drive.google.com/open?id=1RP_lX6wNDF9LzNBVntKM8QE4_jNgHtTs, , ,,"13.6292088, 121.2097867",55.049,1.379,uuid:8fce2fc2-1c67-4f86-aea6-ca85a1a82abf,uuid:8fce2fc2-1c67-4f86-aea6-ca85a1a82abf/tree_records[7]
06/10/22 08:36,Avicennia marina,https://drive.google.com/open?id=1HfMlOoRk8S8vSX_Fv6geWf8eQ-KmSqNx,32.6,7.5,,https://drive.google.com/open?id=1zUx2UEpEIuT1LX-UqzZDya_p116CrrHn,https://drive.google.com/open?id=1ETOrXCh7GwOjf2Sjo6rIN1bx8gdr7uTz, , ,,"13.6292007, 121.2097585",50,5,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23/tree_records[8]
06/10/22 08:40,Avicennia marina,https://drive.google.com/open?id=18OG6N7kpV1dDune5RhZi6_tjWx2jr4ip,89.4,10.49,,https://drive.google.com/open?id=12NVTzaLxcDFxKNjwfrxMzlgzBnNJ8xOy,https://drive.google.com/open?id=1AbcI4eJc3Koha60Uh2BvPFRAjjzLwRyv, , ,,"13.6292283, 121.2097273",21,4.5,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23/tree_records[9]
06/10/22 08:43,Avicennia marina,https://drive.google.com/open?id=1628fBY0Maxl61c0AM3vYUc3aX7Y19Crq,25.2,8.2,,https://drive.google.com/open?id=1kd1d_zawxBa9trhoqlBrZ_KK49SUtGER,https://drive.google.com/open?id=1czPuP8cs0FmRathUNXhfoH1eWcmMEo-K, , ,,"13.6292897, 121.2096669",24,4.85,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23/tree_records[10]
06/10/22 08:47,Avicennia marina,https://drive.google.com/open?id=18YxqTbKc2hk5tcoEL-r8o7M5IVPMEKwW,14.6,5.5,,https://drive.google.com/open?id=1Kasq79rlXptxFY2QgsjSYe9fPdO78YNo,https://drive.google.com/open?id=1aUIR9AEVwZ_G-bNAFbLcTzW80l6aRws-, ,https://drive.google.com/open?id=1vto4L3zekRz6-ihCKn3Wbl-ASY_F5bqe,,"13.6291807, 121.2096466",24,4.937,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23/tree_records[11]
06/10/22 08:53,Avicennia marina,https://drive.google.com/open?id=1WmiDcrw6wOpFxhfDOJn2W_u-PhHZYFJj,43.8,7.5,,https://drive.google.com/open?id=17ijaKvyNprTrKVeQIWYkc-jsYIWkRrG7,https://drive.google.com/open?id=1dAN3TYxjm0KWzrdQlKnkHVl2Gk7Md-yE, , ,,"13.6293719, 121.2096233",14,5,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23/tree_records[12]
06/10/22 08:54,Avicennia officinalis,https://drive.google.com/open?id=1hHb2OVZKYWht0kjRLo5f_SSDbX2IIOHm,90,9.3,,https://drive.google.com/open?id=1dpMYGFwWx3v3vWR5i7agMXLzOABiXJls,https://drive.google.com/open?id=1VS_FkZyRAHjkKUEY2g5Ki9VC49mOu3ot, , ,,"13.6295117, 121.2095561",27.592,4.617,uuid:8fce2fc2-1c67-4f86-aea6-ca85a1a82abf,uuid:8fce2fc2-1c67-4f86-aea6-ca85a1a82abf/tree_records[8]
06/10/22 08:55,Avicennia marina,https://drive.google.com/open?id=15OMiBqXKV8IQKtFJzsUOBq8Y35AvWbge,25.1,8.5,,https://drive.google.com/open?id=1I7sN0ttzSPjRqVJiR11KqgMwlcxcKcxl,https://drive.google.com/open?id=17uB6hRusHlOIHpeVapuDMvsLH4MQX4wE, , ,,"13.6293205, 121.209617",45,4.785,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23/tree_records[13]
06/10/22 09:01,Avicennia marina,https://drive.google.com/open?id=19ASUvOlFDpE9-dydR__4Up9btG8g7PJn,17.7,6.5,,https://drive.google.com/open?id=1Eee0ZZFgHjzJPzZWjaESxjmjFqY9gVwE,https://drive.google.com/open?id=15Cc3RkwSMH0OlKlJG2_1n1vJ5tFErLGl, , ,,"13.6292437, 121.2096226",49,4.8,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23/tree_records[14]
06/10/22 09:04,Avicennia marina,https://drive.google.com/open?id=1WVgWDWZSjzvwjYKxU3pb8aT_1BHz1RBv,38.8,7,,https://drive.google.com/open?id=1HzRg28tPYZgV-v4xE_4iet53I5Jf_zTm,https://drive.google.com/open?id=1AjFYU1BimQeq_ncCLBCFAKdWzrXtuImb, , ,,"13.6292303, 121.20967",36,5,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23,uuid:9f5a6823-9d05-4b32-b06d-a42e3e2e5b23/tree_records[15]
06/10/22 09:04,Avicennia marina,https://drive.google.com/open?id=14aIlSSLsClz8bHy_53AikRzenA0grCSa,53,16,,https://drive.google.com/open?id=1u_imFv86eCsuA_slZAIXegF4Q6dQp5FO,https://drive.google.com/open?id=1yoNofDroDy9lMKOxVPu1713Mr3_LCRvF, , ,,"13.6293305, 121.2095353",36.701,1.91,uuid:698fd347-f6a0-4f09-832e-7001d290dc2d,uuid:698fd347-f6a0-4f09-832e-7001d290dc2d/tree_records[1]
