img_path,xmin,ymin,xmax,ymax,score,img_name,tile_index,tile_xmin,tile_ymin,tile_xmax,tile_ymax,x,y,Xmin,Ymin,Xmax,Ymax,X_d,Y_d,lon_d,lat_d,is_musacea_d,is_banana,ground_index,name,lat_g,lon_g,diameter,height,year,plot_id,tree_id,is_musacea_g,site,X_g,Y_g,updated diameter,group,updated height,AGB,carbon,id
Carlos Vera Guevara RGB_3_0_8305_4000_12305.png,3332.557861328125,19.092411041259766,3661.39013671875,364.6164245605469,0.5312105417251587,Carlos Vera Guevara RGB,3,0,8305,4000,12305,3496.973999023437,191.8544178009033,3332.557861328125,8324.09241104126,3661.39013671875,8669.616424560547,3496.973999023437,8496.854417800903,-79.59129179649908,-1.1986803184152814,0.99,True,30,Musacea,-1.19869441,-79.59123437,10.2813852814,0.0,2016.0,P3,425.0,1.0,Carlos Vera Guevara RGB,5298.555842577528,7709.844670728634,10.2813852814,banana,0.0,4.293299988611008,1.6743869955582933,30
Carlos Vera Guevara RGB_3_0_8305_4000_12305.png,3162.579833984375,2148.2333984375,3431.63232421875,2379.467041015625,0.511509895324707,Carlos Vera Guevara RGB,3,0,8305,4000,12305,3297.1060791015625,2263.8502197265625,3162.579833984375,10453.2333984375,3431.63232421875,10684.467041015623,3297.1060791015625,10568.850219726562,-79.59130263408571,-1.198815603491851,0.99,True,112,Musacea,-1.19879068,-79.59123272,13.5281385281,0.0,2016.0,P3,425.0,1.0,Carlos Vera Guevara RGB,5315.345160481552,8606.745731730642,13.5281385281,banana,0.0,7.702971370427661,3.004158834466788,112
Carlos Vera Guevara RGB_3_0_8305_4000_12305.png,2893.605712890625,244.0111083984375,3095.62060546875,451.2578125,0.2513096928596497,Carlos Vera Guevara RGB,3,0,8305,4000,12305,2994.6131591796875,347.63446044921875,2893.605712890625,8549.011108398438,3095.62060546875,8756.2578125,2994.6131591796875,8652.634460449219,-79.59131903638388,-1.1986904896303865,0.99,True,179,Musacea,-1.19871866,-79.59124129,12.732365673499999,0.0,2016.0,P3,476.0,1.0,Carlos Vera Guevara RGB,5228.1424608452535,7935.770200272108,12.732365673499999,banana,0.0,6.769828147704853,2.6402329776048927,179
Carlos Vera Guevara RGB_3_0_8305_4000_12305.png,2595.111083984375,1703.71240234375,2765.227294921875,1865.25341796875,0.21774187684059146,Carlos Vera Guevara RGB,3,0,8305,4000,12305,2680.169189453125,1784.48291015625,2595.111083984375,10008.71240234375,2765.227294921875,10170.25341796875,2680.169189453125,10089.48291015625,-79.5913360867127,-1.1987843045658972,0.99,True,93,Musacea,-1.19876356,-79.59131933,9.867583397,0.0,2016.0,P3,424.0,1.0,Carlos Vera Guevara RGB,4434.058601382373,8354.081799306065,9.867583397,banana,0.0,3.933600682081932,1.5341042660119533,93
Carlos Vera Guevara RGB_10_7600_7600_11600_11600.png,249.6918792724609,123.62686157226562,439.5576477050781,302.7684020996094,0.2828491628170013,Carlos Vera Guevara RGB,10,7600,7600,11600,11600,344.62476348876953,213.1976318359375,7849.691879272461,7723.626861572266,8039.557647705078,7902.768402099609,7944.6247634887695,7813.1976318359375,-79.59105062822951,-1.1986356809886274,0.99,True,162,Musacea,-1.19867774,-79.59094353,17.825311943,0.0,2016.0,P3,471.0,1.0,Carlos Vera Guevara RGB,8257.952942312015,7554.538337633712,17.825311943,banana,0.0,13.862142540006113,5.4062355906023845,162
Carlos Vera Guevara RGB_8_7600_0_11600_4000.png,129.34970092773438,2401.0478515625,297.64556884765625,2573.56298828125,0.4608084857463837,Carlos Vera Guevara RGB,8,7600,0,11600,4000,213.4976348876953,2487.305419921875,7729.349700927734,2401.0478515625,7897.645568847656,2573.56298828125,7813.497634887695,2487.305419921875,-79.59105773843316,-1.1982879419946495,0.99,True,32,Musacea,-1.19838469,-79.5910206,13.687293099100001,0.0,2016.0,P3,459.0,1.0,Carlos Vera Guevara RGB,7473.7391668647315,4824.333123894987,13.687293099100001,banana,0.0,7.897282487679796,3.0799401701951203,32
Carlos Vera Guevara RGB_8_7600_0_11600_4000.png,1542.123046875,3868.14599609375,1757.82666015625,3997.53662109375,0.4307778179645538,Carlos Vera Guevara RGB,8,7600,0,11600,4000,1649.974853515625,3932.84130859375,9142.123046875,3868.14599609375,9357.82666015625,3997.53662109375,9249.974853515623,3932.84130859375,-79.5909798472624,-1.1983823241517952,0.99,True,105,Musacea,-1.19848043,-79.59094603,18.4619302266,0.0,2016.0,P3,404.0,1.0,Carlos Vera Guevara RGB,8232.514581939009,5716.2964310564375,18.4619302266,banana,0.0,14.937966770230524,5.825807040389904,105
Carlos Vera Guevara RGB_8_7600_0_11600_4000.png,1347.0863037109375,2774.21875,1606.0838623046875,3041.552978515625,0.4071160852909088,Carlos Vera Guevara RGB,8,7600,0,11600,4000,1476.5850830078125,2907.8858642578125,8947.086303710938,2774.21875,9206.083862304688,3041.552978515625,9076.585083007812,2907.8858642578125,-79.59098924910467,-1.1983154025993297,0.99,True,154,Musacea,-1.19846762,-79.59094632,17.5070028011,0.0,2016.0,P3,404.0,1.0,Carlos Vera Guevara RGB,8229.563732101036,5596.951852355794,17.5070028011,banana,0.0,13.340201555786402,5.202678606756697,154
Carlos Vera Guevara RGB_8_7600_0_11600_4000.png,289.77734375,1570.3900146484375,562.2967529296875,1841.1214599609373,0.3842074871063232,Carlos Vera Guevara RGB,8,7600,0,11600,4000,426.03704833984375,1705.7557373046875,7889.77734375,1570.3900146484375,8162.296752929687,1841.1214599609373,8026.037048339844,1705.7557373046875,-79.59104621375073,-1.1982369129295534,0.99,True,142,Musacea,-1.1983053,-79.59102253,15.4379933792,0.0,2016.0,P3,461.0,1.0,Carlos Vera Guevara RGB,7454.100752500604,4084.6948644896333,15.4379933792,banana,0.0,10.205158773910622,3.980011921825143,142
Carlos Vera Guevara RGB_8_7600_0_11600_4000.png,490.461181640625,2160.999267578125,677.1178588867188,2363.269775390625,0.3698794841766357,Carlos Vera Guevara RGB,8,7600,0,11600,4000,583.7895202636719,2262.134521484375,8090.461181640625,2160.999267578125,8277.117858886719,2363.269775390625,8183.789520263672,2262.134521484375,-79.59103765982131,-1.1982732401008485,0.99,True,39,Musacea,-1.19837317,-79.59101508,12.5413801884,0.0,2016.0,P3,402.0,1.0,Carlos Vera Guevara RGB,7529.907066585683,4717.006851715901,12.5413801884,banana,0.0,6.555364051637505,2.556591980138627,39
